freq_hz,magnitude_db
0,-8.67894719897959e-15
251.937984496124,-4.00305910598104e-06
503.875968992248,-1.60079539224091e-05
755.813953488372,-3.60018421372583e-05
1007.7519379845,-6.3963336300323e-05
1259.68992248062,-9.98625293706127e-05
1511.62790697674,-0.000143661029183565
1763.56589147287,-0.000195312003706948
2015.50387596899,-0.000254760235668414
2267.44186046512,-0.000321942187242365
2519.37984496124,-0.00039678607449297
2771.31782945736,-0.000479211951101884
3023.25581395349,-0.000569131802369758
3275.19379844961,-0.000666449647895609
3527.13178294574,-0.00077106165409278
3779.06976744186,-0.000882856255992762
4031.00775193798,-0.00100171428744708
4282.94573643411,-0.00112750912127098
4534.88372093023,-0.00126010681724888
4786.82170542636,-0.00139936627939625
5038.75968992248,-0.00154513942111902
5290.6976744186,-0.00169727133907065
5542.63565891473,-0.00185560049473588
5794.57364341085,-0.00201995890404122
6046.51162790698,-0.00219017233440249
6298.4496124031,-0.00236606050935241
6550.38759689923,-0.0025474373202453
6802.32558139535,-0.00273411104480323
7054.26356589147,-0.00292588457250871
7306.2015503876,-0.00312255563629762
7558.13953488372,-0.003323917050322
7810.07751937985,-0.00352975695374444
8062.01550387597,-0.00373985905999675
8313.95348837209,-0.00395400291153754
8565.89147286822,-0.00417196413939432
8817.82945736434,-0.00439351472744223
9069.76744186047,-0.0046184232814221
9321.70542635659,-0.00484645530142704
9573.64341085271,-0.00507737345888029
9825.58139534884,-0.00531093787653191
10077.519379845,-0.00554690641160018
10329.4573643411,-0.00578503494196384
10581.3953488372,-0.00602507765457606
10833.3333333333,-0.00626678733625136
11085.2713178295,-0.00650991566596924
11337.2093023256,-0.00675421350903382
11589.1472868217,-0.00699943121174403
11841.0852713178,-0.00724531889764022
12093.023255814,-0.00749162676330579
12344.9612403101,-0.00773810537487781
12596.8992248062,-0.00798450596414324
12848.8372093023,-0.00823058072364725
13100.7751937985,-0.0084760831014069
13352.7131782946,-0.00872076809367703
13604.6511627907,-0.0089643925367718
13856.5891472868,-0.0092067153959819
14108.5271317829,-0.00944749805292137
14360.4651162791,-0.00968650458988908
14612.4031007752,-0.0099235020709456
14864.3410852713,-0.0101582608198727
15116.2790697674,-0.0103905546945203
15368.2170542636,-0.0106201613568017
15620.1550387597,-0.010846862538486
15872.0930232558,-0.0110704443024024
16124.0310077519,-0.011290697298421
16375.9689922481,-0.0115074170143971
16627.9069767442,-0.011720404021275
16879.8449612403,-0.0119294642123129
17131.7829457364,-0.0121344090362732
17383.7209302326,-0.0123350557240422
17635.6589147287,-0.0125312275083193
17887.5968992248,-0.0127227538365734
18139.5348837209,-0.012909470576737
18391.4728682171,-0.0130912202147986
