freq_hz,magnitude_db
0,-1.92865493310657e-15
833.333333333333,1.81437252395502e-07
1666.66666666667,7.25636906927276e-07
2500,1.63226279263583e-06
3333.33333333333,2.90075476882874e-06
4166.66666666667,4.53032858271061e-06
5000,6.51997625560364e-06
5833.33333333333,8.86846609514772e-06
6666.66666666667,1.15743429699348e-05
7500,1.46359284377015e-05
8333.33333333333,1.80513210819512e-05
9166.66666666667,2.18183968679949e-05
10000,2.59348093062571e-05
10833.3333333333,3.03979900187994e-05
11666.6666666667,3.52051490185998e-05
12500,4.03532752261795e-05
13333.3333333333,4.58391369053465e-05
14166.6666666667,5.16592821318435e-05
15000,5.78100395070467e-05
15833.3333333333,6.4287518482189e-05
16666.6666666667,7.10876102940687e-05
17500,7.82059883145531e-05
18333.3333333333,8.5638108957557e-05
19166.6666666667,9.33792122736753e-05
20000,0.000101424322764768
20833.3333333333,0.000109768250192843
21666.6666666667,0.000118405590369732
22500,0.000127330726014342
23333.3333333333,0.000136537827727618
24166.6666666667,0.000146020854765067
25000,0.000155773556185415
25833.3333333333,0.000165789471767884
26666.6666666667,0.0001760619330433
27500,0.000186584064354167
28333.3333333333,0.000197348783957202
29166.6666666667,0.000208348805291762
30000,0.000219576637856768
30833.3333333333,0.000231024588772309
31666.6666666667,0.000242684763780018
32500,0.000254549068544311
33333.3333333333,0.000266609210063541
34166.6666666667,0.000278856697921065
35000,0.000291282845698286
35833.3333333333,0.000303878772341375
36666.6666666667,0.000316635403686097
37500,0.000329543473797442
38333.3333333333,0.000342593526627424
39166.6666666667,0.00035577591741244
40000,0.000369080814410008
40833.3333333333,0.000382498200328761
41666.6666666667,0.000396017874080437
42500,0.000409629452400623
43333.3333333333,0.000423322371546534
44166.6666666667,0.000437085889127762
45000,0.000450909085720882
45833.3333333333,0.000464780866753951
46666.6666666667,0.000478689964388919
47500,0.000492624939191766
48333.3333333333,0.000506574182240255
49166.6666666667,0.000520525916936463
50000,0.000534468201008125
50833.3333333333,0.000548388928405672
51666.6666666667,0.000562275831418919
52500,0.00057611648264893
53333.3333333333,0.000589898297201446
54166.6666666667,0.000603608534592759
55000,0.000617234301096998
55833.3333333333,0.000630762551746045
56666.6666666667,0.000644180092649355
57500,0.000657473583139968
58333.3333333333,0.000670629538035969
59166.6666666667,0.00068363433004634
60000,0.000696474191796623
60833.3333333333,0.000709135218517715
61666.6666666667,0.000721603370148123
62500,0.000733864473831266
63333.3333333333,0.000745904226414417
64166.6666666667,0.000757708196710139
65000,0.000769261828166251
65833.3333333333,0.000780550441275137
66666.6666666667,0.000791559236086872
67500,0.000802273294806882
68333.3333333333,0.000812677584470398
69166.6666666667,0.000822756959321536
70000,0.000832496163647138
70833.3333333333,0.000841879834463714
71666.6666666667,0.00085089250397647
72500,0.000859518602577945
73333.3333333333,0.000867742461329475
74166.6666666667,0.000875548314926317
75000,0.000882920304373154
75833.3333333333,0.000889842479778785
76666.6666666667,0.000896298803308576
77500,0.000902273151872333
78333.3333333333,0.000907749320156996
79166.6666666667,0.00091271102347574
80000,0.000917141900583915
80833.3333333333,0.000921025516857147
81666.6666666667,0.000924345367019723
82500,0.000927084878240924
83333.3333333333,0.000929227413198186
84166.6666666667,0.000930756273055017
85000,0.00093165470043275
85833.3333333333,0.000931905882553528
86666.6666666667,0.000931492954442691
